number,value,datetime_start,datetime_complete,duration,params_bottleneck_channels,params_kernel_sizes,params_n_filters,params_num_inception_blocks,params_use_residual,state
0,0.2919485966442472,2025-01-08 19:36:21.339219,2025-01-09 03:07:53.006124,0 days 07:31:31.666905,16,"[5, 11, 23]",24,4,False,COMPLETE
1,0.291215483214159,2025-01-09 03:07:53.010348,2025-01-09 04:56:47.699058,0 days 01:48:54.688710,32,"[9, 19, 39]",32,2,False,COMPLETE
2,0.29997924129160314,2025-01-09 04:56:47.705532,2025-01-09 08:55:44.792705,0 days 03:58:57.087173,32,"[9, 19, 39]",32,4,False,COMPLETE
3,0.2812316171138618,2025-01-09 08:55:44.800107,2025-01-09 16:07:13.321716,0 days 07:11:28.521609,32,"[5, 11, 23]",24,4,False,COMPLETE
4,0.28913422045722625,2025-01-09 16:07:13.327530,2025-01-09 21:35:31.462802,0 days 05:28:18.135272,32,"[5, 11, 23]",24,2,False,COMPLETE
5,0.28571727345423226,2025-01-09 21:35:31.473982,2025-01-10 00:29:21.209965,0 days 02:53:49.735983,16,"[9, 19, 39]",32,4,True,COMPLETE
6,0.2918996403737526,2025-01-10 00:29:21.219852,2025-01-10 02:52:23.756601,0 days 02:23:02.536749,16,"[9, 19, 39]",24,3,True,COMPLETE
7,0.2974571491343362,2025-01-10 02:52:23.768478,2025-01-10 10:14:08.887151,0 days 07:21:45.118673,32,"[9, 19, 39]",24,3,True,COMPLETE
8,0.290754455969095,2025-01-10 10:14:08.897665,2025-01-10 15:29:28.022546,0 days 05:15:19.124881,32,"[9, 19, 39]",24,2,True,COMPLETE
9,0.2960349996741799,2025-01-10 15:29:28.029660,2025-01-10 18:30:58.362495,0 days 03:01:30.332835,16,"[9, 19, 39]",32,4,True,COMPLETE
